,posteriors1,posteriors2,id,treatment,prior,recall_num_orange,num_misremember_orange,num_misremember_blue
0,20,100,6625,7,75.0,2.0,1.0,1.0
1,40,100,11295,4,80.0,2.0,1.0,0.0
2,50,46,5975,5,50.0,4.0,0.0,0.0
3,100,0,6445,6,61.0,3.0,1.0,0.0
4,45,55,9855,2,70.0,1.0,0.0,1.0
5,30,70,4525,1,60.0,4.0,1.0,0.0
6,70,0,10515,8,45.0,10.0,0.0,0.0
7,45,60,5124,1,68.0,1.0,2.0,1.0
8,90,10,11385,3,40.0,3.0,1.0,0.0
9,80,81,11485,7,88.0,2.0,1.0,0.0
10,34,46,10635,2,47.0,2.0,1.0,2.0
11,78,41,3225,3,45.0,3.0,1.0,0.0
12,75,4,11554,5,51.0,1.0,2.0,2.0
13,60,0,11015,8,20.0,4.0,1.0,0.0
14,50,100,11164,1,75.0,2.0,1.0,0.0
15,45,66,11170,7,70.0,3.0,1.0,1.0
16,77,11,6324,8,37.0,1.0,2.0,0.0
17,80,5,6325,6,35.0,3.0,0.0,0.0
18,48,35,11556,6,61.0,2.0,1.0,1.0
19,65,5,11225,6,45.0,1.0,2.0,0.0
20,55,42,5815,2,63.0,3.0,0.0,0.0
21,28,80,6735,1,68.0,0.0,2.0,1.0
22,67,0,10585,8,20.0,5.0,1.0,0.0
23,50,100,11216,4,75.0,2.0,0.0,1.0
24,63,68,11185,4,35.0,1.0,1.0,1.0
25,60,100,4675,7,80.0,0.0,1.0,0.0
26,67,26,4995,5,57.0,3.0,1.0,0.0
27,80,0,10295,6,20.0,5.0,1.0,0.0
28,60,60,10425,8,35.0,1.0,0.0,0.0
29,24,34,11559,2,17.0,2.0,1.0,1.0
30,91,16,11035,3,70.0,7.0,0.0,1.0
31,80,20,6395,5,40.0,2.0,2.0,0.0
32,50,90,5585,1,70.0,7.0,1.0,2.0
33,40,60,11167,7,50.0,2.0,1.0,1.0
34,70,10,6355,6,30.0,6.0,1.0,0.0
35,50,100,11555,1,78.0,2.0,1.0,2.0
36,38,26,11560,5,34.0,1.0,0.0,1.0
37,96,4,11415,6,35.0,2.0,2.0,0.0
38,76,11,11558,3,48.0,6.0,0.0,1.0
39,40,96,11553,7,78.0,2.0,1.0,1.0
40,45,100,11171,4,72.0,7.0,1.0,1.0
41,50,50,4425,2,50.0,2.0,1.0,0.0
42,85,19,5535,3,25.0,0.0,2.0,0.0
43,90,10,11567,8,60.0,5.0,0.0,0.0
44,50,100,6675,1,75.0,10.0,0.0,0.0
45,75,39,5165,5,60.0,4.0,0.0,1.0
46,29,18,6765,6,45.0,6.0,2.0,0.0
47,44,71,4516,2,53.0,4.0,2.0,1.0
48,20,90,4354,7,80.0,2.0,1.0,2.0
49,90,5,3646,8,35.0,1.0,1.0,0.0
50,0,100,5450,4,75.0,3.0,0.0,1.0
51,60,77,6117,7,84.0,5.0,1.0,2.0
52,100,0,6394,6,30.0,6.0,0.0,0.0
53,80,40,5428,3,79.0,3.0,2.0,1.0
54,27,24,4686,5,45.0,3.0,2.0,0.0
55,33,10,10710,6,28.0,7.0,0.0,0.0
56,50,48,4152,5,50.0,1.0,1.0,0.0
57,45,20,4384,8,40.0,5.0,0.0,0.0
58,40,64,5583,2,37.0,1.0,1.0,1.0
59,69,45,3461,5,60.0,5.0,1.0,1.0
60,60,47,3268,5,55.0,4.0,1.0,0.0
61,50,50,6381,2,50.0,0.0,1.0,1.0
62,32,97,5409,1,74.0,3.0,1.0,1.0
63,65,30,5476,8,50.0,2.0,1.0,0.0
64,30,75,6444,2,50.0,3.0,1.0,2.0
65,30,90,6427,7,76.0,1.0,0.0,1.0
66,70,0,6826,6,40.0,6.0,1.0,0.0
67,70,20,5107,3,35.0,5.0,0.0,0.0
68,63,53,6236,4,88.0,2.0,0.0,1.0
69,90,0,6551,6,35.0,3.0,0.0,0.0
70,76,11,6071,3,31.0,1.0,1.0,1.0
71,60,44,5533,5,49.0,2.0,2.0,0.0
72,58,41,6823,5,56.0,7.0,0.0,1.0
73,80,10,10659,6,35.0,4.0,1.0,0.0
74,25,100,6669,7,75.0,3.0,1.0,0.0
75,76,0,5737,8,49.0,7.0,0.0,0.0
76,24,20,6841,5,46.0,3.0,1.0,0.0
77,60,40,5631,1,79.0,3.0,1.0,0.0
78,82,72,9688,4,81.0,1.0,2.0,1.0
79,40,50,5573,7,60.0,0.0,2.0,0.0
80,30,96,5739,1,60.0,0.0,0.0,2.0
81,50,50,6107,2,40.0,1.0,2.0,1.0
82,87,0,6066,8,39.0,4.0,1.0,0.0
83,60,80,6317,4,90.0,2.0,2.0,0.0
84,60,40,5399,3,50.0,5.0,0.0,0.0
85,35,49,9939,5,50.0,0.0,1.0,2.0
86,52,54,9689,4,66.0,1.0,1.0,1.0
87,75,50,6371,1,78.0,0.0,2.0,2.0
88,57,54,3296,1,52.0,0.0,2.0,0.0
89,69,31,10091,3,45.0,1.0,2.0,1.0
90,40,40,6601,2,40.0,5.0,1.0,1.0
91,20,90,5482,7,70.0,3.0,0.0,0.0
92,50,100,9903,7,80.0,2.0,0.0,1.0
93,50,78,9683,7,75.0,0.0,0.0,2.0
94,100,50,9513,2,39.0,4.0,1.0,0.0
95,82,0,5341,8,53.0,1.0,2.0,0.0
96,32,23,10040,3,28.0,4.0,1.0,0.0
97,71,0,6594,8,21.0,5.0,1.0,0.0
98,30,65,3946,8,30.0,2.0,2.0,0.0
99,85,57,5128,4,85.0,3.0,1.0,0.0
100,91,9,6642,6,40.0,6.0,1.0,0.0
101,50,30,9658,6,27.0,4.0,2.0,0.0
102,35,21,6517,7,30.0,1.0,2.0,0.0
103,55,82,6553,4,38.0,3.0,0.0,1.0
104,79,86,9668,1,80.0,4.0,1.0,2.0
105,42,44,5592,2,46.0,5.0,0.0,1.0
106,7,100,6494,1,60.0,2.0,0.0,2.0
107,20,0,9852,8,17.0,5.0,1.0,0.0
108,40,0,4622,8,18.0,3.0,1.0,0.0
109,50,50,5751,2,50.0,8.0,0.0,0.0
110,40,60,5919,7,89.0,10.0,1.0,1.0
111,80,10,6400,3,60.0,3.0,1.0,0.0
112,59,36,9648,2,50.0,1.0,1.0,1.0
113,55,98,5514,7,80.0,8.0,0.0,2.0
114,80,36,9780,5,10.0,7.0,0.0,0.0
115,25,35,9568,5,50.0,3.0,1.0,0.0
116,73,0,10433,6,37.0,2.0,0.0,0.0
117,39,27,10410,2,51.0,1.0,1.0,2.0
118,100,3,5227,6,50.0,4.0,2.0,0.0
119,94,5,6450,6,44.0,5.0,1.0,0.0
120,20,30,6584,2,25.0,3.0,0.0,1.0
121,95,4,6682,6,35.0,2.0,1.0,0.0
122,70,0,6576,6,28.0,6.0,2.0,0.0
123,100,0,4699,3,27.0,3.0,0.0,0.0
124,45,90,11078,4,85.0,4.0,1.0,0.0
125,20,78,4004,7,85.0,1.0,1.0,1.0
126,68,100,6458,4,83.0,6.0,1.0,1.0
127,20,0,11054,7,20.0,2.0,0.0,0.0
128,50,100,6808,1,75.0,8.0,0.0,1.0
129,43,27,10530,3,23.0,3.0,0.0,1.0
